,City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
100,Ulladulla,-35.35,150.47,52.0,87,65,5.82,AU,1586705967
101,Hengshui,37.73,115.7,51.17,40,0,7.49,CN,1586705967
102,Tuktoyaktuk,69.45,-133.04,17.6,85,75,5.82,CA,1586705777
103,Tura,25.52,90.22,74.97,27,0,2.28,IN,1586705797
104,Tornio,65.85,24.15,32.0,96,90,16.11,FI,1586705967
105,Carnarvon,-24.87,113.63,77.0,94,0,14.99,AU,1586705968
106,Okmulgee,35.62,-95.96,62.6,100,90,10.29,US,1586705968
107,Cabo San Lucas,22.89,-109.91,71.01,68,20,3.36,MX,1586705685
108,Boa Vista,2.82,-60.67,89.6,43,75,17.22,BR,1586705968
109,Hofn,64.25,-15.21,33.44,85,24,8.7,IS,1586705968
110,Kavieng,-2.57,150.8,84.16,70,78,3.18,PG,1586705968
111,Saint-Augustin,51.23,-58.65,32.99,92,12,9.28,CA,1586705969
112,Broome,42.25,-75.83,55.0,37,90,11.41,US,1586705969
113,Mar del Plata,-38.0,-57.56,68.0,72,75,11.41,AR,1586705969
114,Souillac,-20.52,57.52,80.01,74,40,14.99,MU,1586705969
115,Leh,34.17,77.58,41.32,14,97,2.15,IN,1586705969
116,Bahía de Caráquez,-0.6,-80.42,78.8,88,90,4.34,EC,1586705969
117,Mogadishu,2.04,45.34,84.24,71,13,15.32,SO,1586705970
118,Kaitangata,-46.28,169.85,48.0,85,90,1.01,NZ,1586705970
119,Aklavik,68.22,-135.01,24.8,85,75,2.24,CA,1586705970
120,Severo-Kuril'sk,50.68,156.12,28.65,95,93,4.56,RU,1586705970
121,Los Zacatones,22.95,-102.05,60.8,38,5,23.04,MX,1586705970
122,Dongsheng,39.82,109.98,45.75,25,23,2.26,CN,1586705970
123,Udachny,66.42,112.4,35.6,55,92,8.95,RU,1586705971
124,Dikson,73.51,80.55,12.74,97,92,12.17,RU,1586705744
125,Skagen,57.72,10.58,46.99,80,100,32.99,DK,1586705971
126,Haines Junction,60.75,-137.51,20.35,75,74,3.13,CA,1586705971
127,Oodweyne,9.41,45.06,87.85,21,75,5.01,SO,1586705971
128,Tuatapere,-46.13,167.68,46.99,90,100,10.0,NZ,1586705971
129,Adamantas,36.73,24.43,66.2,42,0,24.16,GR,1586705971
130,Jiazi,22.88,116.07,63.43,59,31,11.18,CN,1586705972
131,Laguna,38.42,-121.42,55.4,81,90,1.1,US,1586705899
132,Caravelas,-17.71,-39.25,80.24,81,16,13.51,BR,1586705972
133,Half Moon Bay,37.46,-122.43,55.4,93,90,4.7,US,1586705846
134,Manavālakurichi,8.13,77.3,87.8,66,40,2.24,IN,1586705972
135,Locri,38.24,16.26,66.99,68,0,6.93,IT,1586705972
136,Hobart,-42.88,147.33,48.0,89,77,7.96,AU,1586705750
137,Bom Jesus,-9.07,-44.36,82.81,65,61,5.7,BR,1586705973
138,Olinda,-8.01,-34.86,87.8,62,20,9.17,BR,1586705973
139,Kaseda-shirakame,31.42,130.32,50.0,99,79,5.99,JP,1586705973
140,Lata,40.16,-8.33,66.0,68,40,13.87,PT,1586705973
141,Kumul,42.8,93.45,62.44,16,0,3.76,CN,1586705826
142,Buraidah,26.33,43.98,82.4,28,0,12.75,SA,1586705794
143,Remontnoye,46.56,43.65,46.0,42,20,20.13,RU,1586705973
144,Yagodnoye,62.55,149.67,15.82,87,100,2.08,RU,1586705974
145,Ermelo,-26.53,29.98,73.6,18,0,5.39,ZA,1586705974
146,Guerrero Negro,27.98,-114.06,60.28,72,94,13.78,MX,1586705974
147,Fukuechō,32.69,128.84,53.46,76,98,38.5,JP,1586705974
148,Hong Kong,22.29,114.16,68.0,30,26,12.75,HK,1586705793
149,Alyangula,-13.85,136.42,73.4,100,94,5.5,AU,1586705819
150,Muros,42.78,-9.06,66.99,72,40,8.05,ES,1586705974
151,Plettenberg Bay,-34.05,23.37,65.12,65,53,14.23,ZA,1586705974
152,Mahina,-17.51,-149.49,77.0,83,20,2.24,PF,1586705975
153,Fortuna,40.6,-124.16,50.0,93,75,3.36,US,1586705784
154,Ankang,32.68,109.02,55.45,33,1,1.81,CN,1586705697
155,Dingle,11.0,122.67,78.58,77,14,4.23,PH,1586705975
156,Port Blair,11.67,92.75,83.62,72,100,6.49,IN,1586705828
157,Yangcun,39.36,117.06,59.0,46,0,4.47,CN,1586705975
158,Lompoc,34.64,-120.46,57.2,81,90,3.36,US,1586705975
159,Bambous Virieux,-20.34,57.76,79.0,74,40,14.99,MU,1586705906
160,Avarua,-21.21,-159.78,77.0,100,100,1.12,CK,1586705976
161,Praia da Vitória,38.73,-27.07,64.4,72,75,8.97,PT,1586705976
162,Saquena,-4.67,-73.52,86.81,60,96,1.48,PE,1586705976
163,Snellville,33.86,-84.02,61.0,93,90,8.05,US,1586705748
164,Upernavik,72.79,-56.15,30.65,92,100,7.36,GL,1586705976
165,Meulaboh,4.14,96.13,81.68,77,70,1.66,ID,1586705976
166,Port Hedland,-20.32,118.57,84.2,66,40,10.29,AU,1586705977
167,Mossamedes,-15.2,12.15,86.0,58,20,12.75,AO,1586705977
168,Rutul,41.54,47.42,57.2,41,75,4.7,RU,1586705977
169,Brigantine,39.41,-74.36,64.99,59,20,12.75,US,1586705765
170,Boueni,-12.9,45.08,86.0,74,20,10.29,YT,1586705977
171,Galle,6.04,80.22,81.73,78,7,2.95,LK,1586705977
172,Jackson,42.42,-122.83,46.0,60,1,1.01,US,1586705783
173,Cidreira,-30.18,-50.21,70.68,59,12,5.53,BR,1586705692
174,Mugur-Aksy,50.35,90.5,31.71,40,0,2.57,RU,1586705978
175,Cayenne,4.93,-52.33,84.2,66,75,17.22,GF,1586705737
176,East London,-33.02,27.91,66.2,77,100,24.16,ZA,1586705978
177,Kimbe,-5.55,150.14,76.93,88,95,2.19,PG,1586705978
178,Mirny,62.54,113.96,30.2,63,14,11.18,RU,1586705978
179,Klaksvík,62.23,-6.59,35.6,55,68,19.46,FO,1586705978
180,Stornoway,58.21,-6.39,46.99,71,93,25.28,GB,1586705979
181,Termez,37.22,67.28,68.0,88,75,9.17,UZ,1586705979
182,Isoka,-10.16,32.63,71.17,61,89,4.41,ZM,1586705979
183,Pierre,44.37,-100.35,30.99,68,20,21.92,US,1586705714
184,Pisco,-13.7,-76.22,73.99,30,0,5.82,PE,1586705979
185,Airai,-8.93,125.41,62.17,74,100,0.2,TL,1586705979
186,Deputatsky,69.3,139.9,-4.32,84,2,4.72,RU,1586705747
187,Yerbogachën,61.28,108.01,31.01,89,8,4.54,RU,1586705979
188,Coquimbo,-29.95,-71.34,59.0,87,90,8.05,CL,1586705802
189,Preiļi,56.29,26.72,46.36,54,100,9.24,LV,1586705980
190,São João da Barra,-21.64,-41.05,75.2,78,90,4.7,BR,1586705776
191,Swadlincote,52.77,-1.56,70.0,48,100,2.24,GB,1586705980
192,Corrente,-3.74,-43.34,82.74,82,90,4.81,BR,1586705980
193,Ternate,0.8,127.4,79.86,81,0,5.79,ID,1586705980
194,Bolotnoye,55.67,84.4,32.68,86,10,5.73,RU,1586705981
195,Mount Isa,-20.73,139.5,73.4,31,0,8.05,AU,1586705981
196,Ubinskoye,55.31,79.68,32.85,90,75,6.22,RU,1586705981
197,Mayumba,-3.43,10.66,80.49,75,100,4.56,GA,1586705981
198,Santa Rosa,14.31,121.11,82.4,78,40,2.24,PH,1586705982
199,Saldanha,-33.01,17.94,69.8,49,0,8.05,ZA,1586705982
200,Butaritari,3.07,172.79,83.07,75,99,11.56,KI,1586705982
201,Yumen,40.28,97.2,53.8,16,35,3.33,CN,1586705786
202,Lorengau,-2.02,147.27,83.01,74,12,4.61,PG,1586705982
203,Talnakh,69.49,88.4,14.0,92,66,4.47,RU,1586705982
204,Bahir Dar,11.59,37.39,79.38,30,70,11.3,ET,1586705983
205,Dubbo,-32.25,148.62,44.6,93,57,6.93,AU,1586705983
206,Sydney Mines,46.24,-60.22,48.0,45,75,16.11,CA,1586705983
207,Paris,48.85,2.35,75.0,37,74,11.41,FR,1586705681
208,Ubari,26.59,12.78,94.48,9,11,9.19,LY,1586705983
209,Palmer,42.16,-72.33,57.0,29,75,14.99,US,1586705983
210,Acaraú,-2.89,-40.12,87.21,66,95,9.33,BR,1586705983
211,Chato,-2.64,31.77,76.41,56,100,2.24,TZ,1586705984
212,Berlevåg,70.86,29.09,30.2,73,75,20.8,NO,1586705984
213,Tot'ma,59.97,42.76,35.15,71,19,3.53,RU,1586705984
214,Vostok,46.49,135.88,30.6,69,0,1.01,RU,1586705984
215,Samarai,-10.62,150.67,77.9,74,82,4.68,PG,1586705984
216,Hualmay,-11.1,-77.61,77.18,66,41,8.21,PE,1586705985
217,Arraial do Cabo,-22.97,-42.03,77.0,65,75,4.7,BR,1586705908
218,Walvis Bay,-22.96,14.51,84.2,35,0,16.11,NA,1586705985
219,Lagoa,39.05,-27.98,61.57,75,0,6.31,PT,1586705985
220,Martapura,-3.42,114.85,78.8,100,20,2.24,ID,1586705985
221,Si Bun Rueang,16.97,102.28,81.0,57,64,12.64,TH,1586705986
222,Kenai,60.55,-151.26,35.6,86,90,13.87,US,1586705986
223,La Ronge,55.1,-105.28,8.6,71,75,13.87,CA,1586705797
224,Bensonville,6.45,-10.61,86.0,74,75,9.17,LR,1586705986
225,Clifton,40.86,-74.16,62.01,33,1,10.29,US,1586705720
226,Katsuura,35.13,140.3,53.6,87,75,11.41,JP,1586705986
227,Las Cruces,32.31,-106.78,55.0,57,1,21.92,US,1586705987
228,Kirakira,-10.45,161.92,80.85,79,100,4.34,SB,1586705987
229,Enterprise,36.03,-115.24,64.0,42,75,4.12,US,1586705987
230,Shitkino,56.37,98.35,34.38,79,0,5.82,RU,1586705987
231,Lianhe,47.13,129.27,45.61,52,16,1.97,CN,1586705987
232,Port Hardy,50.7,-127.42,37.4,86,40,2.68,CA,1586705987
233,Ipswich,52.06,1.16,73.0,37,92,3.36,GB,1586705987
234,Alofi,-19.06,-169.92,73.4,94,45,2.24,NU,1586705987
235,Antalaha,-14.9,50.28,78.64,83,10,12.35,MG,1586705787
236,Narsaq,60.92,-46.05,44.6,48,100,24.16,GL,1586705988
237,Carutapera,-1.2,-46.02,85.12,72,97,9.17,BR,1586705735
238,Cockburn Town,21.46,-71.14,79.45,80,7,12.97,TC,1586705988
239,Parkes,-33.13,148.18,48.99,87,99,2.71,AU,1586705988
240,Tieli,46.95,128.05,46.89,47,0,0.54,CN,1586705988
241,Qaryat Sulūq,31.67,20.25,69.1,34,0,10.6,LY,1586705772
242,Mayskiy,47.69,40.1,53.01,18,20,15.66,RU,1586705989
243,Hays,30.05,-98.03,78.8,57,40,13.87,US,1586705740
244,Sobolevo,54.43,31.9,47.37,49,84,10.18,RU,1586705746
245,Luanda,-8.84,13.23,82.4,78,75,9.17,AO,1586705949
246,Inuvik,68.35,-133.72,24.8,73,75,3.36,CA,1586705762
247,Muriwai Beach,-36.82,174.45,61.0,93,100,6.93,NZ,1586705989
248,Camacha,33.08,-16.33,66.2,72,40,18.34,PT,1586705989
249,Westport,41.14,-73.36,60.01,50,1,9.17,US,1586705990
250,Bethel,41.37,-73.41,60.01,34,1,12.75,US,1586705773
251,Gangānagar,29.92,73.88,91.17,19,41,3.47,IN,1586705990
252,Maxixe,-23.86,35.35,84.2,58,0,11.41,MZ,1586705990
253,Nizwá,22.93,57.53,88.16,17,27,9.26,OM,1586705990
254,Ponta do Sol,32.67,-17.1,66.2,63,40,12.75,PT,1586705990
255,Shunyi,40.12,116.65,59.0,39,0,4.47,CN,1586705990
256,Margara,40.03,44.18,55.4,32,100,5.82,AM,1586705991
257,Evensk,61.95,159.23,8.44,91,100,2.95,RU,1586705991
258,Pangani,-5.43,38.97,79.27,85,100,10.98,TZ,1586705991
259,Norman Wells,65.28,-126.83,17.6,61,40,9.17,CA,1586705770
260,Santa Isabel,-23.32,-46.22,78.8,53,40,9.17,BR,1586705992
261,Havøysund,71.0,24.66,30.2,63,75,12.75,NO,1586705992
262,Gari,59.43,62.35,44.82,75,100,6.06,RU,1586705992
263,Burns Lake,54.23,-125.75,27.73,75,0,1.01,CA,1586705993
264,Ust-Tsilma,65.44,52.15,27.01,94,59,1.25,RU,1586705993
265,Chokurdakh,70.63,147.92,-0.24,93,81,10.58,RU,1586705993
266,Maceió,-9.67,-35.74,87.8,66,75,12.75,BR,1586705993
267,Baykit,61.67,96.37,28.26,94,1,1.48,RU,1586705993
268,Gorontalo,0.54,123.06,74.46,78,15,3.27,ID,1586705993
269,Whitehorse,60.72,-135.05,23.0,57,75,14.99,CA,1586705993
270,Yakeshi,49.28,120.73,47.39,34,0,5.21,CN,1586705994
271,Bayanday,53.07,105.51,33.82,66,89,3.0,RU,1586705994
272,Ilulissat,69.22,-51.1,41.0,65,100,14.99,GL,1586705994
273,Iqaluit,63.75,-68.51,26.6,73,90,8.05,CA,1586705884
274,Marawi,8.0,124.29,67.87,67,0,3.2,PH,1586705994
275,White Rock,49.02,-122.8,48.2,31,1,5.82,CA,1586705994
276,Mizdah,31.45,12.98,75.52,19,12,9.57,LY,1586705994
277,Sawākin,19.11,37.33,77.97,56,55,14.03,SD,1586705995
278,Gōtsuchō,35.0,132.22,47.16,88,100,24.76,JP,1586705995
279,Grants,35.15,-107.85,46.4,52,75,19.46,US,1586705995
280,Lucapa,-8.42,20.74,80.51,57,86,3.11,AO,1586705995
281,Sol'-Iletsk,51.16,54.99,44.35,56,8,8.34,RU,1586705995
282,Doka,13.52,35.77,99.37,10,75,14.54,SD,1586705995
283,Normandin,48.83,-72.53,37.0,74,90,18.34,CA,1586705995
284,Panabá,21.28,-88.27,88.83,50,25,15.41,MX,1586705995
285,Coahuayana Viejo,18.73,-103.68,83.64,42,83,1.41,MX,1586705996
286,Porto União,-26.24,-51.08,73.06,37,38,3.36,BR,1586705996
287,Kavaratti,10.57,72.64,85.33,68,6,4.85,IN,1586705818
288,Sri Aman,1.24,111.46,80.6,94,100,2.64,MY,1586705996
289,Ancud,-41.87,-73.82,53.6,66,75,3.36,CL,1586705996
290,Nantucket,41.28,-70.1,53.6,61,1,12.75,US,1586705996
291,Faya,18.39,42.45,69.8,72,40,6.93,SA,1586705997
292,Mineiros,-17.57,-52.55,80.2,56,35,1.92,BR,1586705997
293,Xining,36.62,101.77,45.72,19,100,3.51,CN,1586705751
294,Barrow,71.29,-156.79,23.0,85,90,5.82,US,1586705987
295,Būndu,23.18,85.58,84.2,42,40,3.2,IN,1586705997
296,Bershet',57.73,56.38,48.2,61,100,6.71,RU,1586705997
297,Wamba,8.93,8.6,96.75,19,61,6.31,NG,1586705998
298,Bhatkal,13.97,74.57,82.26,81,0,7.23,IN,1586705998
299,Kapaa,22.08,-159.32,69.8,82,1,5.82,US,1586705998
300,São Filipe,14.9,-24.5,77.27,67,1,14.09,CV,1586705998
301,Salalah,17.02,54.09,84.2,66,20,10.29,OM,1586705998
302,Muroto-misakicho,33.28,134.15,53.76,90,100,14.72,JP,1586705998
303,Yong’an,39.7,113.69,48.04,26,0,4.74,CN,1586705999
304,Tocopilla,-22.09,-70.2,80.51,33,32,4.76,CL,1586705999
305,Laas,46.62,10.7,77.0,35,40,6.93,IT,1586705999
306,Praia,14.92,-23.51,86.0,42,27,23.04,CV,1586705999
307,Nabire,-3.37,135.48,77.36,86,85,2.13,ID,1586705999
308,Mayo,38.89,-76.51,66.0,62,90,8.05,US,1586706000
309,Vardø,70.37,31.11,33.8,55,75,16.11,NO,1586705763
310,The Pas,53.83,-101.25,8.6,78,20,5.82,CA,1586706000
311,Riyadh,24.69,46.72,80.6,30,57,8.05,SA,1586706000
312,Kasane,-17.82,25.15,84.2,45,40,6.93,BW,1586706000
313,Saint-Pierre,-21.34,55.48,77.0,83,100,5.82,RE,1586706000
314,Mackenzie,55.3,-123.17,17.6,72,1,1.95,CA,1586706001
315,Port-Cartier,50.03,-66.87,37.0,64,75,9.17,CA,1586705760
316,Kribi,2.95,9.92,82.54,66,43,9.98,CM,1586706001
317,Rāwatsār,29.28,74.38,93.16,18,7,7.23,IN,1586706001
318,Polokwane,-23.9,29.47,84.2,25,20,8.05,ZA,1586706001
319,Teguise,29.06,-13.56,73.4,53,20,16.11,ES,1586706001
320,Taltal,-25.4,-70.48,69.51,58,55,5.79,CL,1586706001
321,Rehoboth,-23.32,17.08,79.23,23,86,7.65,NA,1586706002
322,Bandarbeyla,9.49,50.81,82.38,76,76,13.6,SO,1586706002
323,Schisma Eloundas,35.27,25.72,66.2,77,6,5.82,GR,1586706002
324,Vao,-22.67,167.48,77.22,78,34,10.76,NC,1586705817
325,Algiers,36.75,3.04,71.6,68,75,3.36,DZ,1586705875
326,Abu Dhabi,24.47,54.37,96.8,16,100,11.41,AE,1586705852
327,Maraã,-1.83,-65.37,84.07,71,100,1.43,BR,1586706003
328,Maguling,6.09,124.4,80.51,74,33,1.36,PH,1586706003
329,Portel,-1.94,-50.82,84.83,73,75,1.99,BR,1586706003
330,Guiglo,6.55,-7.5,96.37,35,15,3.29,CI,1586706003
331,La Macarena,2.18,-73.78,86.52,59,94,2.48,CO,1586706003
332,San Andrés,12.58,-81.7,84.2,79,40,6.93,CO,1586705943
333,Emerald,-23.53,148.17,68.0,42,0,9.17,AU,1586706003
334,Kūstī,13.16,32.66,98.2,8,99,16.84,SD,1586706004
335,Viedma,-40.81,-63.0,65.35,28,71,6.35,AR,1586706004
336,Dzaoudzi,-12.79,45.27,86.0,74,20,10.29,YT,1586706004
337,Bowen,-20.02,148.23,73.99,94,75,4.7,AU,1586706004
338,Ferrol,43.48,-8.24,57.99,93,75,9.17,ES,1586705794
339,Hamilton,39.18,-84.53,61.0,62,90,8.05,US,1586705760
340,Sinnamary,5.38,-52.95,82.22,71,98,13.71,GF,1586706005
341,Santander,43.46,-3.8,60.01,93,90,3.36,ES,1586706005
342,Leninskoye,47.94,132.62,48.02,48,56,2.91,RU,1586706005
343,Ahipara,-35.17,173.17,65.68,83,75,15.46,NZ,1586706005
344,Natal,-5.79,-35.21,87.8,62,40,12.75,BR,1586706005
345,The Valley,18.22,-63.06,86.0,66,40,6.93,AI,1586705991
346,Caniço,32.63,-16.85,66.2,63,40,12.75,PT,1586706005
347,Monrovia,6.3,-10.8,86.0,74,75,9.17,LR,1586705940
348,‘Ewa Beach,21.32,-158.01,73.4,77,1,6.93,US,1586706006
349,Oranjemund,-28.55,16.43,68.58,75,15,15.55,NA,1586706003
350,Marsh Harbour,26.54,-77.06,75.45,76,26,20.15,BS,1586705715
351,Gobabis,-22.45,18.97,86.0,25,64,32.21,NA,1586706006
352,Los Llanos de Aridane,28.66,-17.92,68.0,68,75,11.41,ES,1586705777
353,Usinsk,65.99,57.53,22.23,93,100,2.19,RU,1586706006
354,Turkmenabat,39.07,63.58,60.8,82,90,2.24,TM,1586706006
355,Kysyl-Syr,63.9,122.76,20.91,94,0,4.81,RU,1586705806
356,Labuhan,-6.88,112.21,78.49,82,98,1.43,ID,1586705775
357,Kyra,49.58,111.98,48.34,30,100,2.08,RU,1586706007
358,San Quintín,30.48,-115.95,59.29,73,99,11.43,MX,1586706007
359,Nanortalik,60.14,-45.24,36.48,82,93,14.36,GL,1586706007
360,Wilmington,34.23,-77.94,75.0,49,1,17.22,US,1586705409
361,Gambēla,8.25,34.58,90.3,42,65,1.79,ET,1586706007
362,Altus,34.64,-99.33,70.0,52,1,10.29,US,1586706008
363,Tautira,-17.73,-149.15,77.0,83,20,2.24,PF,1586706008
364,Nemuro,43.32,145.57,33.57,88,0,9.19,JP,1586705966
365,Hobyo,5.35,48.53,84.83,72,45,11.9,SO,1586706008
366,Afuá,-0.16,-50.39,82.62,84,65,4.79,BR,1586706008
367,Ulaangom,49.98,92.07,29.5,70,97,1.52,MN,1586706008
368,Merauke,-8.47,140.33,78.57,88,76,8.81,ID,1586706009
369,Bermeo,43.42,-2.72,69.01,77,20,11.41,ES,1586706009
370,Shawnee,39.05,-95.77,63.0,77,90,5.82,US,1586705882
371,Malkara,40.89,26.9,52.84,54,0,14.0,TR,1586706009
372,Mount Gambier,-37.83,140.77,51.8,81,90,3.36,AU,1586706009
373,Tomatlán,19.93,-105.25,80.96,39,42,4.36,MX,1586706009
374,Allada,6.67,2.15,89.6,70,20,13.87,BJ,1586706010
